"estimator","spillover","S","Y","coef","se","lci","uci"
"rsv","with","realS","Ycons",1.87604771761755,0.218000254477968,1.51746920836312,2.23462622687198
"rsv","with","synthS","Ycons",1.47280897836301,0.113423707335067,1.28624358197064,1.65937437475537
"rsv","with","realS","Ylowinc",4.67011538446643,0.679138656573947,3.55303170199782,5.78719906693503
"rsv","with","synthS","Ylowinc",3.94506288519595,0.43150072912518,3.23530734586219,4.65481842452971
"rsv","with","realS","Ymidinc",1.90592092629199,0.183846375045144,1.6035205494971,2.20832130308687
"rsv","with","synthS","Ymidinc",1.60381150547653,0.123517742883151,1.40064289810232,1.80698011285074
"rsv","without","realS","Ycons",0.418350083530242,0.0728979116879897,0.298443689093064,0.53825647796742
"rsv","without","synthS","Ycons",0.422709012687453,0.0657203993266862,0.314608575490255,0.530809449884652
"rsv","without","realS","Ylowinc",1.01532000639651,0.198986096249945,0.688017004266876,1.34262300852615
"rsv","without","synthS","Ylowinc",1.01309651459072,0.179358630137314,0.718077821284314,1.30811520789713
"rsv","without","realS","Ymidinc",0.43040104186564,0.073622450370505,0.30930288734866,0.55149919638262
"rsv","without","synthS","Ymidinc",0.475202361963751,0.0774591334226454,0.347793425412995,0.602611298514507
